name,uid,parent_id,root_id,time_zone,sis_id,workflow
Quimm,Quimm-9824,1,,Monrovia,,active
Gigabox,Gigabox-5186,1,,Moscow,,active
Teklist,Teklist-6041,1,,Abu Dhabi,,active
Skyba,Skyba-8109,1,,Marshall Is.,,active
Dabvine,Dabvine-9899,1,,Azores,,active
Babblestorm,Babblestorm-7192,1,,Copenhagen,,active
Avaveo,Avaveo-2808,1,,Georgetown,,active
Dabfeed,Dabfeed-7129,1,,Riyadh,,active
Innotype,Innotype-9655,1,,Riyadh,,active
Thoughtsphere,Thoughtsphere-6746,1,,Singapore,,active
Photolist,Photolist-2332,1,,Bogota,,active
Livetube,Livetube-5321,1,,Amsterdam,,active
Tekfly,Tekfly-6814,1,,Mexico City,,active
Devbug,Devbug-7773,1,,Buenos Aires,,active
Buzzster,Buzzster-5086,1,,Helsinki,,active
Viva,Viva-4048,1,,Cairo,,active
Meemm,Meemm-3763,1,,Mazatlan,,active
BlogXS,BlogXS-5760,1,,Monterrey,,active
Plambee,Plambee-3766,1,,Warsaw,,active
Demivee,Demivee-8323,1,,Bogota,,active
Chatterbridge,Chatterbridge-4827,1,,Quito,,active
Wordify,Wordify-430,1,,Chihuahua,,active
Tagchat,Tagchat-9398,1,,Atlantic Time (Canada),,active
Vimbo,Vimbo-6983,1,,Mazatlan,,active
Agimba,Agimba-2624,1,,Kolkata,,active
Feedspan,Feedspan-5615,1,,Tijuana,,active
Jabbertype,Jabbertype-9212,1,,Helsinki,,active
Topicblab,Topicblab-5966,1,,Hawaii,,active
Ailane,Ailane-5405,1,,Quito,,active
Browsetype,Browsetype-4964,1,,Novosibirsk,,active
Twitternation,Twitternation-7071,1,,Astana,,active
Tagchat,Tagchat-5647,1,,Tehran,,active
Fivechat,Fivechat-8499,1,,Jerusalem,,active
Kazu,Kazu-5741,1,,Baghdad,,active
Quinu,Quinu-4679,1,,Perth,,active
Midel,Midel-4383,1,,Samoa,,active
Twitterlist,Twitterlist-8719,1,,Berlin,,active
Fadeo,Fadeo-1390,1,,Newfoundland,,active
Quatz,Quatz-6760,1,,Bratislava,,active
Pixoboo,Pixoboo-2925,1,,La Paz,,active
Rhynoodle,Rhynoodle-5221,1,,Stockholm,,active
Brainbox,Brainbox-6205,1,,Kathmandu,,active
Livefish,Livefish-7345,1,,Lisbon,,active
Gabspot,Gabspot-6844,1,,Bangkok,,active
Topicblab,Topicblab-1990,1,,Helsinki,,active
Linkbuzz,Linkbuzz-7136,1,,Astana,,active
Oyonder,Oyonder-1781,1,,Vladivostok,,active
Jaxworks,Jaxworks-5028,1,,Tbilisi,,active
Abata,Abata-2909,1,,Casablanca,,active
Quamba,Quamba-5815,1,,Yakutsk,,active
Teklist,Teklist-9588,1,,Pretoria,,active
Jaxnation,Jaxnation-6133,1,,Prague,,active
Livetube,Livetube-3572,1,,Mazatlan,,active
Demivee,Demivee-3948,1,,Auckland,,active
Realbridge,Realbridge-8408,1,,Madrid,,active
Twimbo,Twimbo-5365,1,,Kuala Lumpur,,active
Divavu,Divavu-4191,1,,Adelaide,,active
Thoughtbridge,Thoughtbridge-9314,1,,Midway Island,,active
Browsedrive,Browsedrive-9341,1,,Yakutsk,,active
Zoombox,Zoombox-9346,1,,Bogota,,active
Dynabox,Dynabox-1525,1,,Chihuahua,,active
Shuffledrive,Shuffledrive-3989,1,,Irkutsk,,active
Trudeo,Trudeo-8365,1,,La Paz,,active
Oyondu,Oyondu-4091,1,,Bangkok,,active
Blognation,Blognation-9609,1,,Sydney,,active
Yamia,Yamia-8581,1,,Budapest,,active
Jayo,Jayo-9865,1,,Guadalajara,,active
Camimbo,Camimbo-6791,1,,Kuwait,,active
Nlounge,Nlounge-413,1,,Kabul,,active
Yambee,Yambee-1634,1,,Tashkent,,active
Jabbersphere,Jabbersphere-9874,1,,Jerusalem,,active
Jaxworks,Jaxworks-3437,1,,London,,active
Divanoodle,Divanoodle-2429,1,,Bratislava,,active
Photospace,Photospace-7343,1,,New Caledonia,,active
Skipstorm,Skipstorm-7622,1,,Indiana (East),,active
Eayo,Eayo-1330,1,,Pretoria,,active
Blogpad,Blogpad-451,1,,Auckland,,active
Voonte,Voonte-2415,1,,La Paz,,active
Quinu,Quinu-4283,1,,Prague,,active
Cogidoo,Cogidoo-5568,1,,Helsinki,,active
Jaxspan,Jaxspan-4235,1,,Skopje,,active
Tagopia,Tagopia-6822,1,,Madrid,,active
Blogpad,Blogpad-2938,1,,Brussels,,active
Realcube,Realcube-977,1,,Tallinn,,active
Youfeed,Youfeed-8375,1,,Islamabad,,active
Eidel,Eidel-930,1,,Bangkok,,active
Quinu,Quinu-2057,1,,Bogota,,active
Edgeclub,Edgeclub-1079,1,,Indiana (East),,active
Quimba,Quimba-2550,1,,Berlin,,active
Skajo,Skajo-1154,1,,Mumbai,,active
Linktype,Linktype-5662,1,,Skopje,,active
